pcode,province,pvalue,catid,groupid,year,,,,,,,,
2,Phongsaly,1635,1,1,2017,,,,catid,,,groupid,
3,Louangnamtha,0,1,1,2017,,,,1,coffee,,1,planted area (ha)
4,Oudomxai,420,1,1,2017,,,,2,cardamom,,2,harvested area (ha)
5,Bokeo,0,1,1,2017,,,,3,tea,,3,production (tonnes)
6,Louangprabang,2035,1,1,2017,,,,4,maize,,,
7,Houaphan,160,1,1,2017,,,,5,sweetcorn,,,
8,Xayaboury,0,1,1,2017,,,,6,soybean,,,
1,Vientiane Capital,0,1,1,2017,,,,7,mungbean,,,
9,Xiengkhouang,845,1,1,2017,,,,8,peanut,,,
10,Vienitiane,0,1,1,2017,,,,9,blackbean,,,
11,Borlikhamxay,0,1,1,2017,,,,10,tobacco,,,
12,Khammouane,0,1,1,2017,,,,11,cotton,,,
13,Savannakhet,0,1,1,2017,,,,12,sugarcane,,,
18,Xaisomboun,0,1,1,2017,,,,13,jobstear,,,
14,Saravan,21775,1,1,2017,,,,14,sesame,,,
15,Xekong,13370,1,1,2017,,,,15,cassava,,,
16,Champassak,51200,1,1,2017,,,,16,sweetpotato,,,
17,Attapue,1865,1,1,2017,,,,17,potato,,,
2,Phongsaly,14205,2,1,2017,,,,18,yambean,,,
3,Louangnamtha,0,2,1,2017,,,,19,taro,,,
4,Oudomxai,0,2,1,2017,,,,20,vegetables,,,
5,Bokeo,0,2,1,2017,,,,21,fruittrees,,,
6,Louangprabang,0,2,1,2017,,,,22,banana,,,
7,Houaphan,475,2,1,2017,,,,23,pineapple,,,
8,Xayaboury,0,2,1,2017,,,,24,papaya,,,
1,Vientiane Capital,0,2,1,2017,,,,25,watermelon,,,
9,Xiengkhouang,0,2,1,2017,,,,26,melon,,,
10,Vienitiane,0,2,1,2017,,,,27,lemon,,,
11,Borlikhamxay,0,2,1,2017,,,,28,Rainfed rice,,,
12,Khammouane,0,2,1,2017,,,,29,Dry-season rice,,,
13,Savannakhet,0,2,1,2017,,,,30,Upland rice,,,
18,Xaisomboun,0,2,1,2017,,,,,,,,
14,Saravan,1110,2,1,2017,,,,,,,,
15,Xekong,1330,2,1,2017,,,,,,,,
16,Champassak,3280,2,1,2017,,,,,,,,
17,Attapue,1232,2,1,2017,,,,,,,,
2,Phongsaly,2370,3,1,2017,,,,,,,,
3,Louangnamtha,30,3,1,2017,,,,,,,,
4,Oudomxai,60,3,1,2017,,,,,,,,
5,Bokeo,0,3,1,2017,,,,,,,,
6,Louangprabang,785,3,1,2017,,,,,,,,
7,Houaphan,160,3,1,2017,,,,,,,,
8,Xayaboury,0,3,1,2017,,,,,,,,
1,Vientiane Capital,0,3,1,2017,,,,,,,,
9,Xiengkhouang,290,3,1,2017,,,,,,,,
10,Vienitiane,0,3,1,2017,,,,,,,,
11,Borlikhamxay,0,3,1,2017,,,,,,,,
12,Khammouane,0,3,1,2017,,,,,,,,
13,Savannakhet,0,3,1,2017,,,,,,,,
18,Xaisomboun,0,3,1,2017,,,,,,,,
14,Saravan,0,3,1,2017,,,,,,,,
15,Xekong,0,3,1,2017,,,,,,,,
16,Champassak,460,3,1,2017,,,,,,,,
17,Attapue,0,3,1,2017,,,,,,,,
2,Phongsaly,4565,4,1,2017,,,,,,,,
3,Louangnamtha,1440,4,1,2017,,,,,,,,
4,Oudomxai,53450,4,1,2017,,,,,,,,
5,Bokeo,1550,4,1,2017,,,,,,,,
6,Louangprabang,10340,4,1,2017,,,,,,,,
7,Houaphan,9140,4,1,2017,,,,,,,,
8,Xayaboury,60395,4,1,2017,,,,,,,,
1,Vientiane Capital,1000,4,1,2017,,,,,,,,
9,Xiengkhouang,20880,4,1,2017,,,,,,,,
10,Vienitiane,6070,4,1,2017,,,,,,,,
11,Borlikhamxay,1560,4,1,2017,,,,,,,,
12,Khammouane,5,4,1,2017,,,,,,,,
13,Savannakhet,0,4,1,2017,,,,,,,,
