pcode,province,pvalue,catid,groupid,year,,,,,,,
2,Phongsaly,7812,1,1,2017,,,,,,,
3,Louangnamtha,9590,1,1,2017,,,catid,,,groupid,
4,Oudomxai,15290,1,1,2017,,,1,lowland rainfed rice,,1,planted area (ha)
5,Bokeo,14632,1,1,2017,,,2,dry-season rice,,2,harvested area (ha)
6,Louangprabang,13496,1,1,2017,,,3,upland permanent cultivation rice,,3,production (tonnes)
7,Houaphan,12580,1,1,2017,,,4,upland rotary cultivation rice,,,
8,Xayaboury,34321,1,1,2017,,,5,upland shifting cultivation rice,,,
1,Vientiane Capital,52395,1,1,2017,,,,,,,
9,Xiengkhouang,19675,1,1,2017,,,,,,,
10,Vienitiane,54081,1,1,2017,,,,,,,
11,Borlikhamxay,36315,1,1,2017,,,,,,,
12,Khammouane,81502,1,1,2017,,,,,,,
13,Savannakhet,204500,1,1,2017,,,,,,,
18,Xaisomboun,6910,1,1,2017,,,,,,,
14,Saravan,81762,1,1,2017,,,,,,,
15,Xekong,9885,1,1,2017,,,,,,,
16,Champassak,110519,1,1,2017,,,,,,,
17,Attapue,22540,1,1,2017,,,,,,,
2,Phongsaly,5,2,1,2017,,,,,,,
3,Louangnamtha,282,2,1,2017,,,,,,,
4,Oudomxai,186,2,1,2017,,,,,,,
5,Bokeo,2360,2,1,2017,,,,,,,
6,Louangprabang,1369,2,1,2017,,,,,,,
7,Houaphan,1670,2,1,2017,,,,,,,
8,Xayaboury,2132,2,1,2017,,,,,,,
1,Vientiane Capital,15145,2,1,2017,,,,,,,
9,Xiengkhouang,0,2,1,2017,,,,,,,
10,Vienitiane,8063,2,1,2017,,,,,,,
11,Borlikhamxay,1623,2,1,2017,,,,,,,
12,Khammouane,7750,2,1,2017,,,,,,,
13,Savannakhet,26995,2,1,2017,,,,,,,
18,Xaisomboun,48,2,1,2017,,,,,,,
14,Saravan,11800,2,1,2017,,,,,,,
15,Xekong,830,2,1,2017,,,,,,,
16,Champassak,9345,2,1,2017,,,,,,,
17,Attapue,517,2,1,2017,,,,,,,
2,Phongsaly,864,3,1,2017,,,,,,,
